trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
113,False,"{'a': 0.002, 'e': 0.974570513346983}",35,0,-234.07112015762752,"{0: 19, 1: 2, 2: 9, 3: 2, 4: 3}",0
114,False,"{'a': 0.002, 'e': 0.9741204024163344}",20,0,-29.047123330497655,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
115,False,"{'a': 0.002, 'e': 0.9736663950053749}",30,2,-84.00510356954615,"{0: 17, 1: 1, 2: 10, 3: 0, 4: 0}",1
116,False,"{'a': 0.002, 'e': 0.9732084929301336}",25,0,-114.75796433604994,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
117,False,"{'a': 0.002, 'e': 0.9727466980222181}",20,0,-72.65408702512786,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
118,False,"{'a': 0.002, 'e': 0.9722810121288076}",25,8,-37.07670917814758,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
119,False,"{'a': 0.002, 'e': 0.971811437112645}",30,0,-127.04081411235947,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
120,False,"{'a': 0.002, 'e': 0.9713379748520297}",20,0,-76.34720528055762,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
121,False,"{'a': 0.002, 'e': 0.97086062724081}",20,0,-86.8063654347694,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
122,False,"{'a': 0.002, 'e': 0.9703793961883759}",30,0,-238.9435425942292,"{0: 15, 1: 4, 2: 6, 3: 1, 4: 4}",0
123,False,"{'a': 0.002, 'e': 0.9698942836196508}",25,0,-205.34335993806297,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
124,False,"{'a': 0.002, 'e': 0.9694052914750845}",25,0,-212.32567642606844,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 4}",0
125,False,"{'a': 0.002, 'e': 0.9689124217106447}",20,0,-83.65477861997184,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
126,False,"{'a': 0.002, 'e': 0.9684156762978101}",20,0,-46.95580278900595,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
127,False,"{'a': 0.002, 'e': 0.9679150572235615}",25,0,-68.38930511720805,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
128,False,"{'a': 0.002, 'e': 0.9674105664903746}",20,0,-71.43468697682015,"{0: 14, 1: 0, 2: 3, 3: 3, 4: 0}",0
129,False,"{'a': 0.002, 'e': 0.9669022061162116}",25,8,-77.51849134351947,"{0: 10, 1: 3, 2: 2, 3: 1, 4: 1}",1
130,False,"{'a': 0.002, 'e': 0.9663899781345132}",30,0,-132.88154637556198,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
131,False,"{'a': 0.002, 'e': 0.9658738845941909}",20,0,-90.16255214568235,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
132,False,"{'a': 0.002, 'e': 0.965353927559618}",25,0,-108.53810814573256,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
133,False,"{'a': 0.002, 'e': 0.9648301091106221}",30,15,-38.738923350295536,"{0: 11, 1: 1, 2: 1, 3: 2, 4: 0}",1
134,False,"{'a': 0.002, 'e': 0.9643024313424761}",30,0,-129.5262282147325,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
135,False,"{'a': 0.002, 'e': 0.9637708963658905}",25,0,-119.3295857753032,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
136,False,"{'a': 0.002, 'e': 0.9632355063070045}",20,0,-70.51778660718259,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
137,False,"{'a': 0.002, 'e': 0.9626962633073776}",35,3,-93.0370522246073,"{0: 23, 1: 3, 2: 3, 3: 2, 4: 1}",1
138,False,"{'a': 0.002, 'e': 0.9621531695239809}",20,0,-22.393700340887577,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
139,False,"{'a': 0.002, 'e': 0.9616062271291891}",20,0,-77.85200820488434,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
140,False,"{'a': 0.002, 'e': 0.9610554383107709}",25,11,-50.416245392924985,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
141,False,"{'a': 0.002, 'e': 0.9605008052718809}",20,0,-67.23535166670234,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
142,False,"{'a': 0.002, 'e': 0.9599423302310505}",20,0,-88.91093497415518,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
143,False,"{'a': 0.002, 'e': 0.959380015422179}",20,0,-158.87313383483152,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
144,False,"{'a': 0.002, 'e': 0.9588138630945251}",20,0,-85.80863020203311,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
145,False,"{'a': 0.002, 'e': 0.9582438755126972}",25,0,-129.78848318172652,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
146,False,"{'a': 0.002, 'e': 0.9576700549566448}",25,0,-57.70979166904992,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
147,False,"{'a': 0.002, 'e': 0.9570924037216496}",20,0,-59.92219256798097,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
148,False,"{'a': 0.002, 'e': 0.9565109241183156}",30,0,-171.68639916342835,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
149,False,"{'a': 0.002, 'e': 0.9559256184725605}",20,0,-89.16248835381312,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
150,False,"{'a': 0.002, 'e': 0.955336489125606}",20,7,-8.465681944766484,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
151,False,"{'a': 0.002, 'e': 0.9547435384339689}",25,0,-215.85090518977506,"{0: 14, 1: 0, 2: 7, 3: 0, 4: 4}",0
152,False,"{'a': 0.002, 'e': 0.9541467687694509}",20,0,-106.93063056810585,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
153,False,"{'a': 0.002, 'e': 0.9535461825191301}",20,0,-122.58566393010433,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
154,False,"{'a': 0.002, 'e': 0.9529417820853506}",20,0,-58.651940133575586,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
155,False,"{'a': 0.002, 'e': 0.9523335698857134}",20,0,-53.43036221197173,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
156,False,"{'a': 0.002, 'e': 0.9517215483530664}",30,0,-113.83487244505287,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
157,False,"{'a': 0.002, 'e': 0.951105719935495}",30,0,-80.36578050147897,"{0: 19, 1: 2, 2: 9, 3: 0, 4: 0}",0
158,False,"{'a': 0.002, 'e': 0.9504860870963119}",20,0,-149.56789928035658,"{0: 8, 1: 1, 2: 7, 3: 4, 4: 0}",0
159,False,"{'a': 0.002, 'e': 0.9498626523140478}",35,0,-197.72741472123317,"{0: 22, 1: 2, 2: 7, 3: 1, 4: 3}",0
160,False,"{'a': 0.002, 'e': 0.9492354180824408}",30,15,-54.81216865897729,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
161,False,"{'a': 0.002, 'e': 0.9486043869104273}",25,0,-106.28975840415063,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
162,False,"{'a': 0.002, 'e': 0.9479695613221308}",20,0,-82.70035001419399,"{0: 12, 1: 3, 2: 2, 3: 3, 4: 0}",0
